cond,seed,axis,factor,progress
nominal,0,speed,1.05,1.0
nominal,0,speed,1.075,1.0
nominal,0,speed,1.1,1.0
nominal,0,speed,1.125,1.0
nominal,0,speed,1.15,1.0
nominal,0,speed,1.175,1.0
nominal,0,speed,1.2000000000000002,0.4468919047619041
nominal,0,speed,1.225,0.4073834722222207
nominal,0,speed,1.25,0.44661706349206226
nominal,0,speed,1.275,0.12965636904761915
nominal,0,speed,1.3,0.13041218253968237
nominal,1,speed,0.7,0.13563416666666644
nominal,1,speed,0.725,0.13649304563492082
nominal,1,speed,0.75,0.13707708333333324
nominal,1,speed,0.7749999999999999,0.13738627976190504
nominal,1,speed,0.7999999999999999,0.13851999999999978
nominal,1,speed,0.825,0.13944758928571438
nominal,1,speed,0.85,0.14016904761904755
nominal,1,speed,0.875,0.2669395833333338
nominal,1,speed,0.9,0.2671457142857142
nominal,1,speed,0.925,0.42074762896825574
nominal,1,speed,0.95,1.0
nominal,1,speed,0.9750000000000001,1.0
nominal,1,speed,1.0,1.0
nominal,1,speed,1.025,1.0
nominal,1,speed,1.05,1.0
nominal,1,speed,1.075,1.0
nominal,1,speed,1.1,0.9311622222222332
nominal,1,speed,1.125,1.0
nominal,1,speed,1.15,1.0
nominal,1,speed,1.175,0.24866263888888931
nominal,1,speed,1.2000000000000002,0.44359380952380884
nominal,1,speed,1.225,0.129622013888889
nominal,1,speed,1.25,0.44661706349206226
nominal,1,speed,1.275,0.44854095238095004
nominal,1,speed,1.3,0.45019000000000237
nominal,2,speed,0.7,0.14044388888888867
nominal,2,speed,0.725,0.26302309523809453
nominal,2,speed,0.75,0.26384761904762044
nominal,2,speed,0.7749999999999999,0.26518747023809613
nominal,2,speed,0.7999999999999999,0.2660463492063488
nominal,2,speed,0.825,0.26642425595238006
nominal,2,speed,0.85,0.6751475793650746
nominal,2,speed,0.875,0.6757659722222148
nominal,2,speed,0.9,0.6752850000000009
nominal,2,speed,0.925,0.9419153869047522
nominal,2,speed,0.95,0.8041855555555487
nominal,2,speed,0.9750000000000001,1.0
nominal,2,speed,1.0,1.0
nominal,2,speed,1.025,0.8042886210317535
nominal,2,speed,1.05,1.0
nominal,2,speed,1.075,1.0
nominal,2,speed,1.1,0.8041855555555644
nominal,2,speed,1.125,1.0
nominal,2,speed,1.15,0.4440747817460339
nominal,2,speed,1.175,0.40690250000000083
nominal,2,speed,1.2000000000000002,0.13027476190476175
nominal,2,speed,1.225,0.129622013888889
nominal,2,speed,1.25,0.13054960317460307
nominal,2,speed,1.275,0.41349869047618865
nominal,2,speed,1.3,0.3769448015873029
nominal,3,speed,0.7,0.13851999999999978
nominal,3,speed,0.725,0.1394819444444446
nominal,3,speed,0.75,0.14016904761904755
nominal,3,speed,0.7749999999999999,0.26199244047619136
nominal,3,speed,0.7999999999999999,0.2627482539682536
nominal,3,speed,0.825,0.26415681547618963
nominal,3,speed,0.85,0.6751475793650746
nominal,3,speed,0.875,0.26573715277777826
nominal,3,speed,0.9,0.26590892857142845
nominal,3,speed,0.925,0.2669395833333328
nominal,3,speed,0.95,0.9386516468253854
nominal,3,speed,0.9750000000000001,0.9419153869047466
nominal,3,speed,1.0,1.0
